id,name,party
381,Умєров Р.Е.,Голос
382,Устінова О.Ю.,Голос
383,Цабаль В.В.,Голос
384,Шараськін А.А.,Голос
385,Юрчишин Я.Р.,Голос
386,Арешонков В.Ю.,Довіра
387,Бабенко М.В.,Довіра
388,Бакунець П.А.,Довіра
389,Білозір Л.М.,Довіра
390,Вацак Г.А.,Довіра
391,Вельможний С.А.,Довіра
392,Горват Р.І.,Довіра
393,Єфімов М.В.,Довіра
394,Іванчук А.В.,Довіра
395,Кіт А.Б.,Довіра
396,Кулініч О.І.,Довіра
397,Кучер М.І.,Довіра
398,Лунченко В.В.,Довіра
399,Люшняк М.В.,Довіра
400,Петьовка В.В.,Довіра
401,Поляк В.М.,Довіра
402,Приходько Б.В.,Довіра
403,Сухов О.С.,Довіра
404,Шахов С.В.,Довіра
405,Гриб В.О.,Позафракційні
406,Деркач А.Л.,Позафракційні
407,Довгий О.С.,Позафракційні
408,Іванісов Р.В.,Позафракційні
409,Кондратюк О.К.,Позафракційні
410,Лерос Г.Б.,Позафракційні
411,Магера С.В.,Позафракційні
412,Магомедов М.С.,Позафракційні
413,Новинський В.В.,Позафракційні
414,Разумков Д.О.,Позафракційні
415,Савчук О.В.,Позафракційні
416,Світлична Ю.О.,Позафракційні
417,Стефанчук Р.О.,Позафракційні
418,Шенцев Д.О.,Позафракційні
419,Шпенов Д.Ю.,Позафракційні
420,Юрченко О.М.,Позафракційні
421,Яковенко Є.Г.,Позафракційні
422,Требушкін Р.В.,Позафракційні
423,Андрійович З.М.,СН
424,Вакарчук С.І.,Позафракційні
425,Бєлькова О.В.,Батьківщина
426,Ткаченко О.В.,СН
427,Давиденко В.М.,Довіра
428,Красносільська А.О.,СН
429,Венедіктова І.В.,СН
430,Кубраков О.М.,СН
431,Кучер О.В.,СН
432,Луценко І.С.,ЕС
433,Коваленко А.М.,СН
434,Криклій В.А.,СН
435,Малюська Д.Л.,СН
436,Новосад Г.І.,СН
437,Оржель О.А.,СН
438,Федоров М.А.,СН
